Metric,Mean,Std
accuracy,0.7104864795188779,0.04417855503564665
recall,0.7457959183673468,0.07337199894422408
f1,0.20564924191424594,0.013979798230675232
roc_auc,0.7832807104629225,0.021712162255630482
